일자,방문인원수,counterfactual_visitors,difference
2020-11-18,809,2083,1274
2020-11-19,256,773,517
2020-11-20,976,2025,1049
2020-11-21,4101,4297,196
2020-11-22,2557,2023,-534
2020-11-23,762,1058,296
2020-11-24,819,1672,853
2020-11-25,911,2050,1139
2020-11-26,10031,2946,-7085
2020-11-27,784,3392,2608
2020-11-28,1651,4223,2572
2020-11-29,9912,4639,-5273
2020-11-30,576,2031,1455
2020-12-01,727,738,11
2020-12-02,628,1005,377
2020-12-03,614,1879,1265
2020-12-04,678,2188,1510
2020-12-05,1701,4628,2927
2020-12-06,2385,5176,2791
2020-12-07,928,1303,375
2020-12-08,591,1519,928
2020-12-09,615,1667,1052
2020-12-10,683,1670,987
2020-12-11,7810,2225,-5585
2020-12-12,1641,4302,2661
2020-12-13,644,2142,1498
2020-12-14,217,939,722
2020-12-15,101,1301,1200
2020-12-16,114,1365,1251
2020-12-17,133,1460,1327
2020-12-18,230,1930,1700
2020-12-19,380,3419,3039
2020-12-20,696,3611,2915
2020-12-21,231,962,731
2020-12-22,282,1441,1159
2020-12-23,288,1454,1166
2020-12-24,347,1962,1615
2020-12-25,1058,3044,1986
2020-12-26,1356,3290,1934
2020-12-27,1876,6320,4444
2020-12-28,802,4604,3802
2020-12-29,244,1846,1602
2020-12-30,72,976,904
2020-12-31,139,812,673
2021-01-01,633,2459,1826
2021-01-02,928,1496,568
2021-01-03,625,1071,446
2021-01-04,199,401,202
2021-01-05,162,272,110
2021-01-06,265,611,346
2021-01-07,74,181,107
2021-01-08,63,236,173
2021-01-09,165,732,567
2021-01-10,527,680,153
2021-01-11,103,142,39
2021-01-12,176,816,640
2021-01-13,851,533,-318
2021-01-14,446,500,54
2021-01-15,283,966,683
2021-01-16,1147,1023,-124
2021-01-17,771,940,169
2021-01-18,87,214,127
2021-01-19,158,264,106
2021-01-20,398,393,-5
2021-01-21,200,873,673
2021-01-22,343,1005,662
2021-01-23,4556,5679,1123
2021-01-24,8227,5603,-2624
2021-01-25,1132,1063,-69
2021-01-26,218,1611,1393
2021-01-27,745,1153,408
2021-01-28,119,1411,1292
2021-01-29,107,1098,991
2021-01-30,1503,1356,-147
2021-01-31,4007,2556,-1451
2021-02-01,515,614,99
2021-02-02,192,312,120
2021-02-03,208,553,345
2021-02-04,244,296,52
2021-02-05,361,611,250
2021-02-06,3512,5511,1999
2021-02-07,2477,2749,272
2021-02-08,246,404,158
2021-02-09,371,483,112
2021-02-10,682,681,-1
2021-02-11,3950,4275,325
2021-02-12,5530,5757,227
2021-02-13,7588,6612,-976
2021-02-14,4395,7656,3261
2021-02-15,456,2086,1630
2021-02-16,101,638,537
2021-02-17,116,304,188
2021-02-18,165,432,267
2021-02-19,1643,1000,-643
2021-02-20,6203,7288,1085
2021-02-21,11897,9696,-2201
2021-02-22,1585,1012,-573
2021-02-23,734,545,-189
2021-02-24,1212,861,-351
2021-02-25,1167,1305,138
2021-02-26,2913,2845,-68
2021-02-27,11624,10648,-976
2021-02-28,15378,10398,-4980
2021-03-01,113,1126,1013
2021-03-02,641,515,-126
2021-03-03,836,603,-233
2021-03-04,616,1094,478
2021-03-05,1373,1738,365
2021-03-06,10282,10104,-178
2021-03-07,11425,9673,-1752
2021-03-08,1149,1349,200
2021-03-09,1034,1634,600
2021-03-10,1260,1478,218
2021-03-11,2395,1774,-621
2021-03-12,347,2399,2052
2021-03-13,10069,14225,4156
2021-03-14,8828,14049,5221
2021-03-15,916,761,-155
2021-03-16,706,625,-81
2021-03-17,1078,1324,246
2021-03-18,1242,1900,658
2021-03-19,1687,3110,1423
2021-03-20,801,6333,5532
2021-03-21,10370,8359,-2011
2021-03-22,1088,569,-519
2021-03-23,1086,1212,126
