date,visitors,station_ride,station_alight,station_total
2015-10-09,40080.0,27217.0,28278.0,55495.0
2015-10-10,10366.0,8635.0,8963.0,17598.0
2015-10-11,6495.0,6410.0,6784.0,13194.0
2015-10-12,4546.0,5277.0,5520.0,10797.0
2015-10-13,9817.0,9780.0,9895.0,19675.0
2015-10-14,8174.0,7690.0,7860.0,15550.0
2015-10-15,8466.0,9918.0,10238.0,20156.0
2015-10-16,14527.0,18779.0,19029.0,37808.0
2015-10-17,28476.0,15365.0,16683.0,32048.0
2015-10-18,26905.0,11645.0,12137.0,23782.0
2015-10-19,6564.0,5992.0,6109.0,12101.0
2015-10-20,8159.0,7071.0,7353.0,14424.0
2015-10-21,7142.0,8542.0,8942.0,17484.0
2015-10-22,6418.0,8519.0,8859.0,17378.0
2015-10-23,10241.0,17550.0,17607.0,35157.0
2015-10-24,21413.0,13874.0,14696.0,28570.0
2015-10-25,34174.0,14664.0,14933.0,29597.0
2015-10-26,5072.0,5015.0,5300.0,10315.0
2015-10-27,2947.0,3585.0,3823.0,7408.0
2015-10-28,7089.0,7179.0,7505.0,14684.0
2015-10-29,5041.0,6861.0,7123.0,13984.0
2015-10-30,5565.0,9990.0,10243.0,20233.0
2015-10-31,13948.0,13367.0,16658.0,30025.0
2015-11-01,3923.0,10048.0,10477.0,20525.0
2015-11-02,5152.0,3603.0,3846.0,7449.0
2015-11-03,16625.0,5066.0,5444.0,10510.0
2015-11-04,15903.0,5472.0,5674.0,11146.0
2015-11-05,2780.0,5179.0,5513.0,10692.0
2015-11-06,2108.0,7010.0,7385.0,14395.0
2015-11-07,1318.0,3713.0,3948.0,7661.0
2015-11-08,576.0,2699.0,2815.0,5514.0
2015-11-09,2922.0,3023.0,3225.0,6248.0
2015-11-10,6233.0,5529.0,5862.0,11391.0
2015-11-11,5204.0,4947.0,5211.0,10158.0
2015-11-12,2316.0,7083.0,7343.0,14426.0
2015-11-13,2244.0,4905.0,5084.0,9989.0
2015-11-14,2219.0,7506.0,7977.0,15483.0
2015-11-15,1911.0,10150.0,10542.0,20692.0
2015-11-16,1626.0,2921.0,3116.0,6037.0
2015-11-17,6659.0,4048.0,4335.0,8383.0
2015-11-18,6404.0,3791.0,3996.0,7787.0
2015-11-19,1383.0,3618.0,3925.0,7543.0
2015-11-20,1427.0,3934.0,4191.0,8125.0
2015-11-21,893.0,9904.0,10495.0,20399.0
2015-11-22,4964.0,7239.0,7609.0,14848.0
2015-11-23,1208.0,2243.0,2401.0,4644.0
2015-11-24,1404.0,4117.0,4422.0,8539.0
2015-11-25,3699.0,3328.0,3485.0,6813.0
2015-11-26,1169.0,3109.0,3259.0,6368.0
2015-11-27,923.0,4958.0,5165.0,10123.0
2015-11-28,895.0,5116.0,5547.0,10663.0
2015-11-29,8472.0,3087.0,3211.0,6298.0
2015-11-30,987.0,2818.0,3011.0,5829.0
2015-12-01,1728.0,5599.0,5852.0,11451.0
2015-12-02,348.0,2069.0,2264.0,4333.0
2015-12-03,523.0,4566.0,4832.0,9398.0
2015-12-04,1315.0,4610.0,4749.0,9359.0
2015-12-05,3736.0,5256.0,5597.0,10853.0
2015-12-06,4083.0,4187.0,4530.0,8717.0
2015-12-07,1192.0,2905.0,3046.0,5951.0
2015-12-08,1626.0,6447.0,6659.0,13106.0
2015-12-09,1392.0,5584.0,5793.0,11377.0
2015-12-10,842.0,5403.0,5621.0,11024.0
2015-12-11,1495.0,6950.0,7040.0,13990.0
2015-12-12,5972.0,6213.0,6645.0,12858.0
2015-12-13,8514.0,5351.0,5943.0,11294.0
2015-12-14,915.0,1709.0,1797.0,3506.0
2015-12-15,1117.0,5543.0,5745.0,11288.0
2015-12-16,1029.0,4468.0,4608.0,9076.0
2015-12-17,821.0,3966.0,4177.0,8143.0
2015-12-18,694.0,4677.0,4735.0,9412.0
2015-12-19,3008.0,5656.0,6025.0,11681.0
2015-12-20,3456.0,4659.0,5015.0,9674.0
2015-12-21,683.0,1694.0,1916.0,3610.0
2015-12-22,1494.0,5825.0,6040.0,11865.0
2015-12-23,1078.0,3695.0,3912.0,7607.0
2015-12-24,1404.0,7032.0,7211.0,14243.0
2015-12-25,4636.0,6927.0,7091.0,14018.0
2015-12-26,3547.0,5446.0,5807.0,11253.0
2015-12-27,2007.0,3647.0,3865.0,7512.0
2015-12-28,888.0,2231.0,2379.0,4610.0
2015-12-29,1170.0,3902.0,4167.0,8069.0
2015-12-30,22176.0,4164.0,4369.0,8533.0
2015-12-31,1281.0,4396.0,4631.0,9027.0
2016-01-01,4382.0,3388.0,3606.0,6994.0
2016-01-02,7265.0,6747.0,7097.0,13844.0
2016-01-03,4557.0,4812.0,5116.0,9928.0
2016-01-04,1690.0,2803.0,3019.0,5822.0
2016-01-05,1256.0,4083.0,4374.0,8457.0
2016-01-06,1174.0,3664.0,3853.0,7517.0
2016-01-07,1044.0,3664.0,3855.0,7519.0
2016-01-08,926.0,3737.0,3856.0,7593.0
2016-01-09,2640.0,5587.0,6098.0,11685.0
2016-01-10,3604.0,5169.0,5582.0,10751.0
2016-01-11,996.0,2317.0,2509.0,4826.0
2016-01-12,1642.0,3677.0,3902.0,7579.0
2016-01-13,1007.0,3420.0,3662.0,7082.0
